// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
16952		0.033167	-0.460528	9.811153	-0.001024	-0.008327	-0.021173	-3.057689	-0.021904	38.129559			0.000000			
16953		0.043911	-0.421423	9.800135	-0.009694	-0.008018	-0.015089	-3.063900	-0.028554	38.132539			0.000000			
16954		0.027587	-0.426095	9.770388	-0.004564	-0.006936	-0.018623	-3.067580	-0.034448	38.128342			0.000000			
16955		0.055598	-0.455675	9.798664	-0.007385	-0.007359	-0.015017	-3.072145	-0.040251	38.145840			0.000000			
16956		0.025437	-0.445491	9.754784	0.000471	-0.003411	-0.013710	-3.072941	-0.043976	38.144348			0.000000			
16957		0.062670	-0.434812	9.772099	0.000310	0.001343	-0.008404	-3.073390	-0.044980	38.152876			0.000000			
16958		0.059222	-0.453391	9.756534	-0.002415	-0.001522	-0.013245	-3.075839	-0.047610	38.151593			0.000000			
16959		0.036564	-0.463439	9.811004	-0.012460	0.000094	-0.006134	-3.082995	-0.048276	38.190720			0.000000			
16960		0.049387	-0.494722	9.767434	-0.007567	0.002883	-0.002814	-3.088398	-0.048062	38.195272			0.000000			
16961		0.079175	-0.521790	9.753584	-0.007910	0.003727	-0.009134	-3.093733	-0.048190	38.191993			0.000000			
16962		0.058740	-0.528470	9.765981	0.007445	0.007108	-0.008152	-3.090533	-0.045724	38.193360			0.000000			
16963		0.054844	-0.457754	9.798571	0.008378	0.009079	-0.007054	-3.086651	-0.042259	38.196738			0.000000			
16964		0.070359	-0.469076	9.770645	0.001671	0.010884	-0.007222	-3.086760	-0.037604	38.198521			0.000000			
16965		0.019170	-0.449432	9.796840	-0.001733	0.013007	-0.003084	-3.088415	-0.032208	38.201476			0.000000			
16966		0.039019	-0.500047	9.851670	-0.007934	0.009214	-0.002239	-3.094027	-0.028354	38.206162			0.000000			
16967		0.057552	-0.509852	9.781582	-0.005701	0.006825	-0.000620	-3.098336	-0.026565	38.200903			0.000000			
16968		0.033841	-0.519121	9.836079	0.007283	0.011862	-0.002842	-3.095230	-0.021214	38.205160			0.000000			
16969		-0.004523	-0.456623	9.809203	0.003730	0.007886	0.004392	-3.093369	-0.017996	38.229383			0.000000			
16970		-0.024478	-0.536087	9.831135	-0.007438	-0.001746	0.003461	-3.098698	-0.020236	38.237668			0.000000			
16971		0.055391	-0.510071	9.781584	-0.005850	0.000727	0.002476	-3.102686	-0.021492	38.248583			0.000000			
16972		0.074969	-0.504075	9.769173	-0.007868	0.006901	0.000900	-3.108261	-0.018862	38.255136			0.000000			
16973		0.034387	-0.518507	9.793873	-0.014511	0.006392	0.003869	-3.117090	-0.016617	38.272265			0.000000			
16974		0.017436	-0.580631	9.831288	-0.012267	0.009366	0.000803	-3.125184	-0.012578	38.278685			0.000000			
16975		0.026741	-0.542562	9.820249	-0.019816	0.001399	-0.004224	-3.137320	-0.013440	38.285584			0.000000			
16976		0.006481	-0.639164	9.784361	-0.011596	-0.000983	-0.003492	-3.145028	-0.015454	38.289871			0.000000			
16977		-0.003535	-0.606203	9.785790	0.011358	-0.000607	-0.011273	-3.139431	-0.018303	38.280087			0.000000			
16978		0.006277	-0.564992	9.774940	0.020586	0.002033	-0.010988	-3.128700	-0.018828	38.279990			0.000000			
16979		-0.000373	-0.512095	9.792019	0.009053	-0.001267	-0.011342	-3.124274	-0.021820	38.277701			0.000000			
16980		0.059677	-0.491807	9.754914	-0.003917	-0.000942	-0.013806	-3.127582	-0.024135	38.276084			0.000000			
16981		0.022344	-0.503479	9.737505	-0.016842	0.007920	-0.010920	-3.137892	-0.021532	38.281447			0.000000			
16982		0.005310	-0.565696	9.774900	-0.011635	0.012058	-0.015996	-3.145621	-0.016479	38.278170			0.000000			
16983		-0.062698	-0.550885	9.771277	-0.004484	0.006973	-0.017952	-3.148870	-0.015081	38.271372			0.000000			
16984		-0.049174	-0.565547	9.785421	0.001144	-0.002900	-0.015788	-3.149278	-0.018579	38.268684			0.000000			
16985		-0.009011	-0.550955	9.760759	0.023521	0.000037	-0.023026	-3.136821	-0.021419	38.250206			0.000000			
16986		0.004374	-0.489415	9.765567	0.046166	-0.000918	-0.022396	-3.111432	-0.023989	38.243674			0.000000			
16987		0.034826	-0.423210	9.800094	0.036500	-0.000280	-0.020551	-3.091220	-0.026762	38.236228			0.000000			
16988		0.048154	-0.363166	9.804757	0.002079	-0.000935	-0.014685	-3.091093	-0.029100	38.234106			0.000000			
16989		0.025316	-0.461684	9.811122	-0.016746	0.000101	-0.014679	-3.100997	-0.030625	38.251884			0.000000			
16990		-0.004676	-0.525732	9.776704	-0.021431	-0.004273	-0.013273	-3.114339	-0.034829	38.250675			0.000000			
16991		0.019867	-0.574080	9.789412	0.002317	-0.007998	-0.016850	-3.113012	-0.040849	38.277330			0.000000			
16992		0.077030	-0.571642	9.736768	0.013713	-0.005420	-0.018082	-3.106214	-0.045857	38.273408			0.000000			
16993		0.104063	-0.525160	9.755675	0.043041	0.002695	-0.015073	-3.082246	-0.046772	38.268398			0.000000			
16994		0.106962	-0.414518	9.819478	0.032139	0.010736	-0.015300	-3.064892	-0.042449	38.265568			0.000000			
16995		0.039637	-0.382690	9.873569	-0.021870	0.004360	-0.015834	-3.077937	-0.041874	38.272873			0.000000			
16996		0.043769	-0.528797	9.850512	-0.050272	-0.007152	-0.013059	-3.107801	-0.047717	38.271878			0.000000			
16997		0.041535	-0.623665	9.844304	-0.026237	-0.004030	-0.018135	-3.123686	-0.052349	38.266293			0.000000			
16998		0.035652	-0.645444	9.870800	0.013927	-0.001626	-0.018035	-3.116764	-0.055186	38.262281			0.000000			
16999		0.018472	-0.574230	9.831662	0.039851	-0.005406	-0.023127	-3.094404	-0.060620	38.264830			0.000000			
17000		0.018886	-0.497560	9.822286	0.042742	-0.012651	-0.018900	-3.070971	-0.069788	38.260661			0.000000			
17001		0.087013	-0.436781	9.816403	0.029567	-0.016134	-0.021402	-3.054677	-0.081420	38.258204			0.000000			
17002		0.098883	-0.468192	9.815086	0.001063	-0.014497	-0.019558	-3.055122	-0.091662	38.253711			0.000000			
17003		0.090088	-0.524343	9.768405	-0.013811	-0.012657	-0.017329	-3.063941	-0.101841	38.236319			0.000000			
17004		0.069052	-0.623272	9.774814	-0.008428	-0.018626	-0.023014	-3.069819	-0.114554	38.229977			0.000000			
17005		0.082082	-0.728448	9.783079	0.015268	-0.020006	-0.029724	-3.061268	-0.127753	38.247291			0.000000			
17006		0.076084	-0.687977	9.742686	0.084838	-0.006358	-0.028178	-3.013698	-0.133599	38.237617			0.000000			
17007		0.000949	-0.820550	9.927593	0.072818	-0.026660	-0.047065	-2.972483	-0.151646	38.229522			0.000000			
17008		0.131658	-1.238114	9.754911	0.064817	-0.067707	-0.056528	-2.936332	-0.193417	38.205431			0.000000			
17009		0.181240	-1.322052	9.485159	0.311364	-0.024177	-0.081213	-2.758523	-0.211354	38.167950			0.000000			
17010		0.124784	-1.090824	9.597441	0.792481	0.098001	-0.099296	-2.305352	-0.159179	38.114877			0.000000			
17011		-0.001438	-0.785369	10.061271	0.911698	0.103547	-0.117122	-1.783815	-0.104409	38.046389			0.000000			
17012		0.106795	-0.675132	9.977506	0.878510	0.070935	-0.131159	-1.281420	-0.067307	37.976399			0.000000			
17013		0.021868	-0.766250	9.718900	1.031165	0.096511	-0.146167	-0.691681	-0.015562	37.892819			0.000000			
17014		-0.021554	-0.316214	9.701907	1.354733	0.157233	-0.142823	0.083426	0.072441	37.816695			0.000000			
17015		-0.053512	-0.302163	10.367929	1.387379	0.114124	-0.166315	0.877513	0.136776	37.738261			0.000000			
17016		0.118432	-0.743744	9.909717	1.202265	0.006430	-0.201193	1.565037	0.141104	37.629230			0.000000			
17017		0.335967	-1.062513	9.494336	1.594756	0.086646	-0.254472	2.476462	0.192971	37.465060			0.000000			
17018		0.161338	-0.988359	9.492425	2.256616	0.237410	-0.308522	3.767596	0.336402	37.302035			0.000000			
17019		-0.037734	-0.226223	9.465186	2.793568	0.329801	-0.309655	5.364483	0.535454	37.108510			0.000000			
17020		-0.194289	0.472963	9.941670	3.081665	0.336034	-0.320003	7.127353	0.744438	36.953146			0.000000			
17021		-0.299758	0.813362	9.867892	2.992923	0.233826	-0.339669	8.835994	0.898608	36.710250			0.000000			
17022		-0.069306	0.427109	9.811348	2.965148	0.144200	-0.417659	10.530220	1.017597	36.494026			0.000000			
17023		-0.002842	-0.371345	9.175494	3.217258	0.123536	-0.463097	12.362682	1.132899	36.145138			0.000000			
17024		0.182696	-0.210259	7.936160	4.170847	0.312631	-0.462532	14.746755	1.366040	35.935046			0.000000			
17025		0.115733	1.110361	7.893461	5.495003	0.633904	-0.399417	17.883807	1.770605	35.708782			0.000000			
17026		-0.266555	2.803978	8.569913	6.271657	0.795026	-0.380949	21.474494	2.269267	35.661856			0.000000			
17027		-0.495182	3.811128	9.002908	5.950498	0.687571	-0.404878	24.870580	2.712964	35.509231			0.000000			
17028		-0.520533	3.826709	8.268267	5.293113	0.464985	-0.334462	27.899802	3.032496	35.460646			0.000000			
17029		0.013727	2.921115	7.572129	5.280645	0.441731	-0.309365	30.920125	3.334208	35.419637			0.000000			
17030		0.267334	2.586642	6.138969	6.082615	0.665981	-0.249032	34.409696	3.727638	35.509873			0.000000			
17031		-0.018060	3.610540	4.993915	7.621847	1.087522	-0.144326	38.796620	4.271513	35.817846			0.000000			
17032		-0.397489	5.310845	5.434453	8.793692	1.375307	-0.066101	43.873686	4.882670	36.314755			0.000000			
17033		-0.705125	6.829036	4.774890	9.024132	1.365091	0.081323	49.096634	5.381108	36.917584			0.000000			
